"stateid","state","dem_this_margin","dem_votes","rep_votes","class"
"AZ","Arizona",0,1672143,1661686,"States that flipped from 2016"
"FL","Florida",-0.03,5297045,5668731,"Republican win"
"GA","Georgia",0,2474507,2461837,"States that flipped from 2016"
"IA","Iowa",-0.08,759061,897672,"Republican win"
"MI","Michigan",0.03,2804040,2649852,"States that flipped from 2016"
"MN","Minnesota",0.07,1717049,1484048,"Democratic win"
"NV","Nevada",0.02,703486,669890,"Democratic win"
"NH","New Hampshire",0.07,424921,365654,"Democratic win"
"NC","North Carolina",-0.01,2684292,2758775,"Republican win"
"OH","Ohio",-0.08,2679165,3154834,"Republican win"
"PA","Pennsylvania",0.01,3459923,3378263,"States that flipped from 2016"
"TX","Texas",-0.06,5259126,5890347,"Republican win"
"WI","Wisconsin",0.01,1630866,1610184,"States that flipped from 2016"
"AL","Alabama",-0.26,849624,1441170,"Republican win"
"AK","Alaska",-0.1,153778,189951,"Republican win"
"AR","Arkansas",-0.28,423932,760647,"Republican win"
"CA","California",0.29,11109764,6005961,"Democratic win"
"CO","Colorado",0.14,1804352,1364607,"Democratic win"
"CT","Connecticut",0.2,1080680,715291,"Democratic win"
"DE","Delaware",0.19,296268,200603,"Democratic win"
"DC","District of Columbia",0.87,317323,18586,"Democratic win"
"HI","Hawaii",0.3,366130,196864,"Democratic win"
"ID","Idaho",-0.31,287021,554119,"Republican win"
"IL","Illinois",0.17,3471915,2446891,"Democratic win"
"IN","Indiana",-0.16,1242413,1729516,"Republican win"
"KS","Kansas",-0.15,570323,771406,"Republican win"
"KY","Kentucky",-0.26,772474,1326646,"Republican win"
"LA","Louisiana",-0.19,856034,1255776,"Republican win"
"ME","Maine",0.09,435072,360737,"Democratic win"
"MD","Maryland",0.33,1985023,976414,"Democratic win"
"MA","Massachusetts",0.34,2382202,1167202,"Democratic win"
"MS","Mississippi",-0.17,539508,756789,"Republican win"
"MO","Missouri",-0.15,1253014,1718736,"Republican win"
"MT","Montana",-0.16,244786,343602,"Republican win"
"NE","Nebraska",-0.19,374583,556846,"Republican win"
"NJ","New Jersey",0.16,2608335,1883274,"Democratic win"
"NM","New Mexico",0.11,501614,401894,"Democratic win"
"NY","New York",0.23,5241957,3250075,"Democratic win"
"ND","North Dakota",-0.33,114902,235595,"Republican win"
"OK","Oklahoma",-0.33,503890,1020280,"Republican win"
"OR","Oregon",0.16,1340383,958448,"Democratic win"
"RI","Rhode Island",0.21,307486,199922,"Democratic win"
"SC","South Carolina",-0.12,1091541,1385103,"Republican win"
"SD","South Dakota",-0.26,150471,261043,"Republican win"
"TN","Tennessee",-0.23,1143711,1852475,"Republican win"
"UT","Utah",-0.21,560282,865140,"Republican win"
"VT","Vermont",0.35,242820,112704,"Democratic win"
"VA","Virginia",0.1,2413568,1962430,"Democratic win"
"WA","Washington",0.19,2369612,1584651,"Democratic win"
"WV","West Virginia",-0.39,235984,545382,"Republican win"
"WY","Wyoming",-0.43,73491,193559,"Republican win"
